Course Name,Tamil,Gujarati,Malayalam,Hindi,Telugu,Bengali,Kannada,Marathi,English,Assamese,Punjabi
cost accounting,89.pdf,46.pdf,55.pdf,113.pdf,,24.pdf,,9.pdf,451.pdf,,
course design and instruction of engineering course,,,,,,,,66.pdf,,,
cryptography and network security,,,,,,46.pdf,,,,,
culturally responsive built environments,,,,129.pdf,,,,,,,
dairy and food process and products technology,,,,102.pdf,,,,44.pdf,,,
data analytics with python,,,,,,,,,193.pdf,,
data science for engineers,86.pdf,106.pdf,12.pdf,153.pdf,67.pdf,83.pdf,,76.pdf,181.pdf,,
database management system,116.pdf,84.pdf,48.pdf,,,29.pdf,49.pdf,,151.pdf,,
dc microgrid,,,,,,,,,233.pdf,,
"dealing with materials data : collection, analysis and interpretation",,,,,,,,,182.pdf,,
decision-making under uncertainty,,,,,,,,,14.pdf,,
defects in crystalline solids (part-i),,,,,,,,,487.pdf,,
defects in materials,,,,,,,,,466.pdf,,
demystifying networking,,,,,,,,,134.pdf,,
descriptive statistics with r software,,,,,,,,,409.pdf,,
design and analysis of algorithms,111.pdf,,56.pdf,,,,79.pdf,21.pdf,,,
design and optimization of energy systems,,,,,,,,,538.pdf,,
design and simulation of dc-dc converters using open source tools,56.pdf,2.pdf,110.pdf,117.pdf,,48.pdf,53.pdf,,293.pdf,,
design for internet of things,75.pdf,111.pdf,80.pdf,,,47.pdf,12.pdf,38.pdf,,,
design of masonry structures,40.pdf,70.pdf,,3.pdf,,,,39.pdf,,,
design of photovoltaic systems,153.pdf,,,,,,,,,,
design of steel structures,44.pdf,0.pdf,,156.pdf,11.pdf,,,,,,
design practice,63.pdf,75.pdf,30.pdf,55.pdf,81.pdf,,30.pdf,73.pdf,,,
design practice - ii,,,,,,,,,345.pdf,,
design principles of rf and microwave filters and amplifiers,,,,,,,,,261.pdf,,
design thinking - a primer,34.pdf,14.pdf,4.pdf,57.pdf,55.pdf,45.pdf,43.pdf,27.pdf,197.pdf,,
"design, technology and innovation",,,,,,,,,10.pdf,,
designing learner-centric e-learning in stem disciplines,,,,,,,,79.pdf,416.pdf,,
development and applications of special concretes,,,,,,,,,359.pdf,,
development research methods,,,,,,,,,232.pdf,,
differential equations for engineers,23.pdf,81.pdf,101.pdf,166.pdf,56.pdf,44.pdf,62.pdf,,85.pdf,,
diffusion in multicomponent solids,,,,,,,,,285.pdf,,
digital circuits,,,,,,,,,120.pdf,,
digital electronic circuits,128.pdf,,83.pdf,76.pdf,29.pdf,19.pdf,72.pdf,50.pdf,,,
digital image processing,,,,,,,,,5.pdf,,
digital speech processing,,,,,,,,,138.pdf,,
digital switching - i,,,,,,,,,307.pdf,,
digital vlsi testing,,,,,,,,,429.pdf,,
disability studies - an introduction,84.pdf,,72.pdf,19.pdf,,,,4.pdf,,,
disaster recovery and build back better,8.pdf,,,,,,,,,,
drug delivery: principles and engineering,,,,,,,,,420.pdf,,
earth sciences for civil engineering,51.pdf,112.pdf,,,,,,,248.pdf,,
earth sciences for civil engineering - part 2,,,,,,,,,143.pdf,,
ecology and environment,,,,71.pdf,49.pdf,,,,172.pdf,,
ecology and society,,,,108.pdf,,,,,493.pdf,,
economic growth and development,,,,,,,,,315.pdf,,
effective engineering teaching in practice,,,,,61.pdf,,,,423.pdf,,
effective writing,,,,9.pdf,,,,,389.pdf,,
electrical distribution system analysis,105.pdf,62.pdf,78.pdf,151.pdf,,50.pdf,44.pdf,1.pdf,273.pdf,,
electrical equipment and machines: finite element analysis,,,,,,,,,522.pdf,,
electrical machines,12.pdf,,,36.pdf,,,,63.pdf,,,
electrical machines - i,,47.pdf,,22.pdf,59.pdf,96.pdf,17.pdf,,"348.pdf, 113.pdf",,
electrical machines - ii,,,,,,88.pdf,45.pdf,,,,
electrical measurement and electronic instruments,,,,,,,,6.pdf,31.pdf,,
electrochemical technology in pollution control,,,,,,,,,237.pdf,,
electromagnetic theory,,103.pdf,,,,,,,190.pdf,,
electromagnetic waves in guided and wireless media,,,,,,,,,523.pdf,,
elementary stereology for quantitative metallography,,,,,,,,,258.pdf,,
elements of solar energy conversion,,,,,,,,,42.pdf,,
elements of visual representation,82.pdf,,,119.pdf,,,,,226.pdf,,
embedded system design with arm,48.pdf,102.pdf,37.pdf,,,,,,49.pdf,,
emotional intelligence,83.pdf,34.pdf,32.pdf,149.pdf,77.pdf,25.pdf,29.pdf,16.pdf,,,
employment communication - a lab based course,15.pdf,59.pdf,35.pdf,,80.pdf,34.pdf,,41.pdf,,,
energy conservation and waste heat recovery,26.pdf,20.pdf,107.pdf,126.pdf,90.pdf,8.pdf,,,211.pdf,,
energy economics and policy,,,,,,,,,263.pdf,,
"energy resources, economics and environment",,,,,,,,,196.pdf,,
engineering drawing and computer graphics,121.pdf,41.pdf,79.pdf,84.pdf,64.pdf,80.pdf,41.pdf,18.pdf,,,
engineering economic analysis,,,,,,,,,396.pdf,,
engineering fracture mechanics,90.pdf,24.pdf,95.pdf,130.pdf,,,,0.pdf,,,
engineering mathematics - i,24.pdf,89.pdf,88.pdf,178.pdf,100.pdf,94.pdf,,56.pdf,,,
engineering mathematics ii,9.pdf,56.pdf,103.pdf,89.pdf,102.pdf,,91.pdf,,,,
engineering mechanics,135.pdf,,,78.pdf,85.pdf,,59.pdf,,518.pdf,,
engineering mechanics:statics and dynamics,,76.pdf,98.pdf,92.pdf,8.pdf,,22.pdf,,,,
engineering metrology,27.pdf,61.pdf,6.pdf,95.pdf,,76.pdf,85.pdf,59.pdf,,,
"english literature of the romantic period, 1798 - 1832",,,,,,,,,443.pdf,,
enhancing soft skills and personality,25.pdf,101.pdf,23.pdf,"103.pdf, 104.pdf",58.pdf,42.pdf,76.pdf,58.pdf,198.pdf,,
environmental engineering- chemical processes,,,,,,,,,98.pdf,,
environmental geomechanics,,,,,,,,,156.pdf,,
environmental geotechnics,,,,79.pdf,,,,,368.pdf,,
environmental quality monitoring & analysis,,,,,,,,,435.pdf,,
environmental soil chemistry,,,,,,,,,80.pdf,,
equipment design : mechanical aspects,,,,,,,,,62.pdf,,
ergonomics in automotive design,,,,,,,,,458.pdf,,
essentials of biomolecules : nucleic acids and peptides,,,,,,,,,281.pdf,,
essentials of data science with r software - 1: probability and statistical inference,,,,,,,,,130.pdf,,
essentials of data science with r software - 2: sampling theory and linear regression analysis,,,,,,,,,201.pdf,,
"essentials of oxidation, reduction and c-c bond formation. application in organic synthesis",,,,,,,,,502.pdf,,
estimation for wireless communications mimo (or) ofdm cellular and sensor networks,,,,146.pdf,,,,,40.pdf,,
ethics,,,,,,,,,515.pdf,,
ethics in engineering practice,94.pdf,,,33.pdf,,,,,460.pdf,,
evaluations of textile materials,,,,,,,,,496.pdf,,
evolution of air interface towards 5g,,,,,,,,,222.pdf,,
experimental biotechnology,,,,,,,,,167.pdf,,
experimental physics - ii,57.pdf,,,114.pdf,,,,,,,
experimental physics i,125.pdf,110.pdf,71.pdf,26.pdf,0.pdf,49.pdf,7.pdf,47.pdf,308.pdf,,
experimental physics iii,,,,,,,,,468.pdf,,
fabrication techniques for mems-based sensors:clinical perspective,,,,,,,,,421.pdf,,
farm machinery,7.pdf,,65.pdf,154.pdf,,,,,,,
feminism : concepts and theories,,,,,,,,,439.pdf,,
fiber optics,,,,,,,,,180.pdf,,
financial accounting,147.pdf,40.pdf,89.pdf,137.pdf,47.pdf,,,68.pdf,135.pdf,,
financial derivatives & risk management,,,,,,,,,265.pdf,,
financial statement analysis and reporting,,,,135.pdf,,,,,,,
fluid and particle mechanics,,,,,,,,,355.pdf,,
fluid dynamics and turbomachines,81.pdf,,,20.pdf,71.pdf,,,,,,
fluid mechanics,,,,,,,,,266.pdf,,
folk and minor art in india,,,,,,,,,18.pdf,,
forest biometry,,,,,,,,,344.pdf,,
foundation engineering,,,,,,,,,34.pdf,,
foundation of computational fluid dynamics,,,,,,,,,287.pdf,,
foundations of cognitive robotics,,,,,,,,,316.pdf,,
foundations of computational materials modelling,,,,,,,,,504.pdf,,
foundations of wavelets and multirate digital signal processing,,,,,,,,,126.pdf,,
functional and conceptual design,,,,,,,,,166.pdf,,
functional genomics,,,,169.pdf,,,,,,,
functional programming in haskell,,,,,,,,,101.pdf,,
fundamentals of artificial intelligence,,,,,,,,,545.pdf,,
fundamentals of automotive systems,,,,,,,,,267.pdf,,
fundamentals of combustion,,,,,,,,,171.pdf,,
fundamentals of combustion - i,,,,,,,,,452.pdf,,
fundamentals of combustion for propulsion,,,,,,,,,137.pdf,,
fundamentals of compressible flow,,,,,,,,,240.pdf,,
fundamentals of conduction and radiation,,,,,,,,,84.pdf,,
fundamentals of database systems,46.pdf,,,132.pdf,,,,,,,
fundamentals of electrical engineering,61.pdf,,,141.pdf,74.pdf,9.pdf,13.pdf,,,,
fundamentals of electronic materials and devices,114.pdf,8.pdf,22.pdf,94.pdf,,,65.pdf,,114.pdf,,
fundamentals of gas dynamics,,65.pdf,,,,,,,,,
fundamentals of manufacturing processes,,,,,,,,,378.pdf,,
fundamentals of nuclear power generation,,,,85.pdf,,,,,492.pdf,,
fundamentals of optical and scanning electron microscopy,,,,,,,,,206.pdf,,
fundamentals of spectroscopy,,,,,,,,,314.pdf,,
fundamentals of welding science and technology,140.pdf,,,,,,,,,,
"fuzzy sets, logic and systems & applications",,,,,,,,,310.pdf,,
game theory,,,,,,,,,203.pdf,,
gender and literature,,,,,,,,,376.pdf,,
gender justice and workplace security,,,,50.pdf,,,,,,,
genetic engineering: theory and application,,,,,,,,,508.pdf,,
"geoenvironmental engineering (environmental geotechnology): landfills, slurry ponds & contaminated sites",,,,,,,,,51.pdf,,
geographic information system,,,,,,,,,341.pdf,,
geomorphic processes: landforms and landscapes,,,,51.pdf,,,,,484.pdf,,
geotechnical engineering - 1,,,,,,,,,353.pdf,,
german-i,,,,,,,,,100.pdf,,
german-ii,,,,,,,,,392.pdf,,
global navigation satellite systems and applications,,,,,,,,,241.pdf,,
globalization and culture,5.pdf,86.pdf,24.pdf,124.pdf,79.pdf,84.pdf,68.pdf,77.pdf,,,
gps surveying,,,,,,,,,401.pdf,,
gpu architectures and programming,,,,,,,,,22.pdf,,
great experiments in psychology,,,,,,,,,3.pdf,,
group theory methods in physics,,,,,,,,,185.pdf,,
"groups : motion, symmetry and puzzles",,,,,,,,,39.pdf,,
health research fundamentals,4.pdf,,90.pdf,,,,4.pdf,,,,
heat transfer,136.pdf,17.pdf,,16.pdf,,,,,380.pdf,,
heat transfer and combustion in multiphase systems,,,,,,,,,73.pdf,,
heat treatment and surface hardening - i,,,,,,,,,431.pdf,,
heat treatment and surface hardening - ii,,,,,,,,,473.pdf,,
high performance computing for scientists and engineers,,,,,,,,,192.pdf,,
"high power multilevel converters- analysis, design and operational issues",,,,,,,,,66.pdf,,
how the brain creates mind,98.pdf,31.pdf,44.pdf,,35.pdf,21.pdf,35.pdf,,,,
human adjustment processes,,,,,,,,,122.pdf,,
human molecular genetics,145.pdf,,25.pdf,40.pdf,,74.pdf,92.pdf,65.pdf,33.pdf,,
humanities and social sciences,,,,,,61.pdf,,,,,
hydraulic engineering,,,,,,,,,302.pdf,,
hydrostatics and stability,,,,,,,,,444.pdf,,
indian business history,,,,,,,,,186.pdf,,
indian economy: some contemporary perspectives,,,,,,,,,374.pdf,,
indian philosophy,,,,,,,,,497.pdf,,
inductive couple plasma atomic emission spectrometry ( icp-aes) for pollution monitoring,,,,,,,,,418.pdf,,
industrial automation and control,19.pdf,12.pdf,10.pdf,179.pdf,103.pdf,,,,,,
industrial biotechnology,,,,,,,,,383.pdf,,
information security - 5 - secure systems engineering,,109.pdf,70.pdf,158.pdf,53.pdf,92.pdf,48.pdf,5.pdf,,,
information security-3,,,,,,,,,129.pdf,,
infrastructure economics,,,,,,,,,217.pdf,,
infrastructure planning and management,,,85.pdf,,,,,,272.pdf,,
innovation by design,,,,,,,,,306.pdf,,
inspection and quality control in manufacturing,,,,,,,,,82.pdf,,
integral and vector calculus,38.pdf,,,168.pdf,,,,,,,
integral transforms and their applications,21.pdf,,81.pdf,74.pdf,,,,,231.pdf,,
"integrated circuits, mosfets, op-amps and their applications",45.pdf,,29.pdf,31.pdf,39.pdf,,66.pdf,,,,
integrated marketing management,,,,,,,,,303.pdf,,
international business,,,,,,,,,43.pdf,,
interpersonal skills,,,,,,,,,236.pdf,,
introducing modern western art movements and artists,,,,,,,,,64.pdf,,
introduction to abrasive machining and finishing processes,,,,93.pdf,,,,,165.pdf,,
introduction to abstract group theory,,,,,,,,,357.pdf,,
introduction to aerospace engineering - flight,,,,,,,,,169.pdf,,
introduction to airbreathing propulsion,,,,,,,,,506.pdf,,
introduction to aircraft design,,,,,,,,,304.pdf,,
introduction to airplane performance,,,,,,,,,334.pdf,,
introduction to algebraic geometry and commutative algebra,,,,,,,,,537.pdf,,
introduction to algorithms and analysis,,,,,,,,,57.pdf,,
introduction to atmospheric and space sciences,,,,,,,,,311.pdf,,
introduction to basic cognitive processes,,,,,,,,,191.pdf,,
introduction to blockchain technology and applications,,,,,,,,,225.pdf,,
introduction to brain & behaviour,,,,,,,,,83.pdf,,
introduction to civil engineering profession,,,,,,,,,441.pdf,,
introduction to classical mechanics,,,,,,,,,176.pdf,,
introduction to cryptology,,,,,,,,,525.pdf,,
introduction to data analytics,,,,,,,,,278.pdf,,
introduction to developmental biology,,,,,,,,,498.pdf,,
introduction to electromagnetic theory,110.pdf,26.pdf,68.pdf,164.pdf,27.pdf,72.pdf,90.pdf,2.pdf,189.pdf,,
introduction to embedded system design,,,,,,,,,264.pdf,,
introduction to environmental economics,,,,,,,,,142.pdf,,
introduction to evolutionary dynamics,,,,,,,,,491.pdf,,
introduction to experiments in flight,,,,,,,,,356.pdf,,
introduction to film studies,,,,,,,,,227.pdf,,
introduction to fluid mechanics,127.pdf,52.pdf,69.pdf,165.pdf,17.pdf,4.pdf,47.pdf,,349.pdf,,
"introduction to fuzzy set theory, arithmetic and logic",,,,,,,,,188.pdf,,
introduction to geographic information systems,,,,101.pdf,,,,,411.pdf,,
introduction to history of architecture in india,,,,,,,,,90.pdf,,
introduction to industry 4.0 and industrial internet of things,36.pdf,44.pdf,21.pdf,161.pdf,18.pdf,82.pdf,64.pdf,7.pdf,60.pdf,,
introduction to internet of things,68.pdf,,87.pdf,69.pdf,,11.pdf,86.pdf,,,,
introduction to japanese language and culture,,,,,,,,,415.pdf,,
introduction to launch vehicle analysis and design,,,,,,,,,15.pdf,,
introduction to literary theory,,,,,,,,,243.pdf,,
introduction to machine learning,,,,,,,,,453.pdf,,
introduction to mechanical vibration,,,,,,,,,195.pdf,,
introduction to mechanobiology,,,1.pdf,70.pdf,,,,,,,
introduction to methods of applied mathematics,,,,,,,,,115.pdf,,
introduction to mineral processing,30.pdf,,,,1.pdf,,,,,,
introduction to nonlinear dynamics,,,,,,,,,274.pdf,,
introduction to operating systems,131.pdf,57.pdf,7.pdf,,78.pdf,,9.pdf,60.pdf,,,
introduction to operations research,20.pdf,,,10.pdf,98.pdf,,,,509.pdf,,
introduction to photonics,,,,,,,,,291.pdf,,
"introduction to political ideologies : contexts, ideas, and practices",,,,,,,,,208.pdf,,
introduction to polymer physics,,,,,,,,,476.pdf,,
introduction to probability and statistics,,,,,,,,,12.pdf,,
introduction to probability theory and stochastic processes,,,,,,,,,123.pdf,,
introduction to process modeling in membrane separation process,,,,,,,,,546.pdf,,
introduction to programming in c,109.pdf,3.pdf,73.pdf,14.pdf,,20.pdf,84.pdf,71.pdf,269.pdf,,
introduction to proteomics,,,,,,,,,541.pdf,,
introduction to psychology,71.pdf,,92.pdf,32.pdf,,,,32.pdf,,,
introduction to r software,,,,,,,,,271.pdf,,
introduction to reciprocal space,,,,,,,,,259.pdf,,
introduction to research,41.pdf,108.pdf,11.pdf,80.pdf,87.pdf,81.pdf,63.pdf,19.pdf,,,
introduction to rings and fields,101.pdf,55.pdf,76.pdf,23.pdf,93.pdf,43.pdf,50.pdf,,234.pdf,,
introduction to robotics,,,,,,,,,79.pdf,,
introduction to smart grid,,,0.pdf,,,,,,81.pdf,,
introduction to soft computing,,71.pdf,,,,,,,139.pdf,,
introduction to soft matter,,,,,,,,,297.pdf,,
introduction to statistical hypothesis testing,,,,,,,,,438.pdf,,
introduction to stochastic processes,,,,,,,,,239.pdf,,
introduction to system dynamics modeling,,,,,,,,,94.pdf,,
introduction to the psychology of language,,,,,,,,,107.pdf,,
introduction to time-frequency analysis and wavelet transforms,,,,,,,,,457.pdf,,
introduction to western political thought,,,,,,,,,20.pdf,,
introduction to wireless and cellular communications,151.pdf,,14.pdf,118.pdf,,17.pdf,,,,,
introductory organic chemistry,102.pdf,,,,,,,,,,
introductory organic chemistry - i,,68.pdf,,54.pdf,,,,,,,
introductory quantum mechanics,103.pdf,43.pdf,97.pdf,180.pdf,45.pdf,32.pdf,37.pdf,,,,
ironmaking and steelmaking,,,,,,,,,296.pdf,,
issues in bioethics,,,,,,,,,35.pdf,,
knowledge management,,,,35.pdf,,,,,,,
language and mind,119.pdf,1.pdf,45.pdf,61.pdf,,28.pdf,69.pdf,46.pdf,342.pdf,,
language and society,,,,,,,,,539.pdf,,
linear dynamical systems,,,,,,,,,202.pdf,,
linear regression analysis and forecasting,,,,,,,,,362.pdf,,
linear system theory,,,,,,,,,463.pdf,,
literary theory and literary criticism,,,,,,,,,244.pdf,,
"machine learning, ml",,,51.pdf,,,,,,,,
machining science,,,,,,,,,514.pdf,,
maintenance and repair of concrete structures,,,,,,,,,327.pdf,,
management accounting,69.pdf,,,184.pdf,,,,14.pdf,,,
management information system,,,,,,,,,50.pdf,,
management of field sales,,,,,,,,,536.pdf,,
managerial skills for interpersonal dynamics,,,,,,,,,309.pdf,,
managing intellectual property in universities,142.pdf,28.pdf,74.pdf,34.pdf,19.pdf,53.pdf,1.pdf,37.pdf,125.pdf,,
managing services,42.pdf,6.pdf,38.pdf,75.pdf,97.pdf,89.pdf,28.pdf,,,,
manufacturing automation,,,,,,,,,220.pdf,,
manufacturing of composites,,,,,,,,,175.pdf,,
manufacturing process technology - ii,,,,,,,,,474.pdf,,
manufacturing process technology -part i,,,,,,,,,454.pdf,,
manufacturing processes - casting and joining,,,,,,,,,275.pdf,,
manufacturing systems technology part i,,9.pdf,,96.pdf,,,,,105.pdf,,
manufacturing systems technology part ii,29.pdf,85.pdf,94.pdf,49.pdf,69.pdf,77.pdf,25.pdf,84.pdf,23.pdf,,
marketing management-i,104.pdf,,,170.pdf,,,,,,,
marketing research and analysis,,,,77.pdf,,,,,108.pdf,,
mass transfer operations ii,,,,,,,,,335.pdf,,
material and energy balances,,,,,,,,,408.pdf,,
material characterization,,,,,,,,,295.pdf,,
mathematical portfolio theory,,,,,,,,,147.pdf,,
matlab programming for numerical computation,137.pdf,87.pdf,2.pdf,83.pdf,92.pdf,23.pdf,58.pdf,36.pdf,325.pdf,,
matrix analysis with applications,,,,,,,,,482.pdf,,
mcdm techniques using r,,72.pdf,,39.pdf,,,,,170.pdf,,
measure theory,,,,,,,,,542.pdf,,
mechanical characterization of bituminous materials,,,,,,,,,532.pdf,,
mechanical measurement systems,,,,,,,,,48.pdf,,
mechanical operations,,,,,,,,,512.pdf,,
mechanical unit operations,,,,,,,,,467.pdf,,
mechanics of solids,,,,,,,,,372.pdf,,
mechanisms in organic chemistry,144.pdf,,,150.pdf,,,,,27.pdf,,
metal mediated synthesis-i,,,,,,,,,531.pdf,,
metals in biology,130.pdf,94.pdf,,52.pdf,,,,,402.pdf,,
microelectronics: devices to circuits,,,,,,,,,29.pdf,,
microprocessors and microcontrollers,107.pdf,82.pdf,34.pdf,91.pdf,3.pdf,7.pdf,52.pdf,88.pdf,,,
microwave integrated circuits,143.pdf,,,106.pdf,,,,69.pdf,377.pdf,,
microwave theory and techniques,52.pdf,,,73.pdf,5.pdf,,,,,,
"mineral resources: geology, exploration, economics and environment",,,,28.pdf,,,,,,,
model checking,,,,,,,,,347.pdf,,
modeling and simulation of discrete event systems,,,,,,,,,338.pdf,,
modeling of tundish steelmaking process in continuous casting,,,,,,,,,56.pdf,,
modelling and analytics for supply chain management,,,,,,,,,91.pdf,,
